[2018-01-02 09:27:05,866][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:10,866][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:15,867][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:20,867][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:25,867][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:30,867][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:35,867][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:40,867][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:45,868][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:50,868][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:27:55,868][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:00,868][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:05,868][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:10,869][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:15,869][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:20,869][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:25,869][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:30,869][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:35,870][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:40,870][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:45,870][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:50,870][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:28:55,870][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:00,871][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:05,871][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:10,871][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:15,871][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:20,871][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:25,872][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:30,872][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:35,872][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:40,872][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:45,872][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:50,873][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:29:55,873][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:00,873][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:05,873][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:10,873][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:15,873][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:20,874][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:25,874][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:30,874][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:35,874][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:40,874][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:45,875][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:50,875][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:30:55,875][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:00,875][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:05,875][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:10,875][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:15,876][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:20,876][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:25,876][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:30,876][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:35,876][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:40,877][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:45,877][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:50,877][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:31:55,877][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:00,877][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:05,878][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:10,878][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:15,878][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:20,878][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:25,878][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:30,878][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:35,879][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:40,879][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:45,879][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:50,879][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:32:55,879][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:00,880][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:05,880][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:10,880][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:15,880][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:20,880][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:25,880][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:30,881][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:35,881][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:40,881][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:45,881][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:50,881][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:33:55,882][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:34:00,882][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
